Model: llama2:70b-chat
Dataset: SAMSum.json
Temperature: 0.1
Total inference time: 60286.37 seconds
Average inference time per article: 30.7 seconds
Inference times per article:
Article 269: 36.92 seconds
Article 270: 13.66 seconds
Article 271: 45.48 seconds
Article 272: 39.60 seconds
Article 273: 22.71 seconds
Article 274: 34.23 seconds
Article 275: 32.13 seconds
Article 276: 26.35 seconds
Article 277: 48.87 seconds
Article 278: 31.25 seconds
Article 279: 33.30 seconds
Article 280: 43.73 seconds
Article 281: 34.83 seconds
Article 282: 16.64 seconds
Article 283: 26.79 seconds
Article 284: 33.69 seconds
Article 285: 36.56 seconds
Article 286: 27.61 seconds
Article 287: 37.49 seconds
Article 288: 27.01 seconds
Article 289: 23.33 seconds
Article 290: 36.12 seconds
Article 291: 54.46 seconds
Article 292: 33.76 seconds
Article 293: 26.99 seconds
Article 294: 34.73 seconds
Article 295: 22.98 seconds
Article 296: 31.22 seconds
Article 297: 30.61 seconds
Article 298: 30.89 seconds
Article 299: 34.55 seconds
Article 300: 23.82 seconds
Article 301: 34.34 seconds
Article 302: 40.06 seconds
Article 303: 47.25 seconds
Article 304: 33.01 seconds
Article 305: 22.61 seconds
Article 306: 23.71 seconds
Article 307: 30.57 seconds
Article 308: 31.59 seconds
Article 309: 13.37 seconds
Article 310: 16.32 seconds
Article 311: 17.44 seconds
Article 312: 27.04 seconds
Article 313: 32.58 seconds
Article 314: 36.87 seconds
Article 315: 41.13 seconds
Article 316: 22.85 seconds
Article 317: 49.51 seconds
Article 318: 41.90 seconds
Article 319: 17.46 seconds
Article 320: 30.79 seconds
Article 321: 34.57 seconds
Article 322: 30.32 seconds
Article 323: 38.57 seconds
Article 324: 18.01 seconds
Article 325: 29.93 seconds
Article 326: 44.66 seconds
Article 327: 34.56 seconds
Article 328: 27.35 seconds
Article 329: 19.91 seconds
Article 330: 13.34 seconds
Article 331: 19.68 seconds
Article 332: 27.34 seconds
Article 333: 23.06 seconds
Article 334: 38.88 seconds
Article 335: 34.28 seconds
Article 336: 39.00 seconds
Article 337: 47.21 seconds
Article 338: 33.75 seconds
Article 339: 13.76 seconds
Article 340: 18.48 seconds
Article 341: 16.39 seconds
Article 342: 29.05 seconds
Article 343: 39.42 seconds
Article 344: 32.83 seconds
Article 345: 28.80 seconds
Article 346: 28.12 seconds
Article 347: 17.99 seconds
Article 348: 37.08 seconds
Article 349: 17.42 seconds
Article 350: 38.79 seconds
Article 351: 31.42 seconds
Article 352: 30.68 seconds
Article 353: 28.72 seconds
Article 354: 27.68 seconds
Article 355: 19.46 seconds
Article 356: 30.87 seconds
Article 357: 38.21 seconds
Article 358: 26.12 seconds
Article 359: 27.92 seconds
Article 360: 33.59 seconds
Article 361: 19.17 seconds
Article 362: 50.67 seconds
Article 363: 2.69 seconds
Article 364: 28.00 seconds
Article 365: 15.95 seconds
Article 366: 36.34 seconds
Article 367: 27.24 seconds
Article 368: 24.56 seconds
Article 369: 10.03 seconds
Article 370: 43.18 seconds
Article 371: 16.38 seconds
Article 372: 37.91 seconds
Article 373: 30.41 seconds
Article 374: 31.23 seconds
Article 375: 16.96 seconds
Article 376: 35.58 seconds
Article 377: 19.60 seconds
Article 378: 15.10 seconds
Article 379: 26.83 seconds
Article 380: 40.34 seconds
Article 381: 32.85 seconds
Article 382: 24.76 seconds
Article 383: 26.24 seconds
Article 384: 12.71 seconds
Article 385: 37.67 seconds
Article 386: 33.58 seconds
Article 387: 29.36 seconds
Article 388: 13.69 seconds
Article 389: 39.18 seconds
Article 390: 21.23 seconds
Article 391: 36.81 seconds
Article 392: 41.07 seconds
Article 393: 36.48 seconds
Article 394: 21.71 seconds
Article 395: 24.06 seconds
Article 396: 33.53 seconds
Article 397: 40.84 seconds
Article 398: 26.92 seconds
Article 399: 31.38 seconds
Article 400: 30.83 seconds
Article 401: 23.10 seconds
Article 402: 16.45 seconds
Article 403: 31.18 seconds
Article 404: 41.93 seconds
Article 405: 17.62 seconds
Article 406: 37.01 seconds
Article 407: 15.23 seconds
Article 408: 44.81 seconds
Article 409: 32.19 seconds
Article 410: 29.78 seconds
Article 411: 36.36 seconds
Article 412: 30.79 seconds
Article 413: 32.10 seconds
Article 414: 37.70 seconds
Article 415: 19.45 seconds
Article 416: 11.18 seconds
Article 417: 18.89 seconds
Article 418: 32.28 seconds
Article 419: 34.18 seconds
Article 420: 15.77 seconds
Article 421: 50.31 seconds
Article 422: 50.07 seconds
Article 423: 27.41 seconds
Article 424: 26.26 seconds
Article 425: 11.49 seconds
Article 426: 38.77 seconds
Article 427: 33.22 seconds
Article 428: 33.56 seconds
Article 429: 31.98 seconds
Article 430: 27.78 seconds
Article 431: 36.31 seconds
Article 432: 29.11 seconds
Article 433: 27.40 seconds
Article 434: 27.31 seconds
Article 435: 30.34 seconds
Article 436: 29.06 seconds
Article 437: 37.22 seconds
Article 438: 48.93 seconds
Article 439: 28.68 seconds
Article 440: 35.59 seconds
Article 441: 39.19 seconds
Article 442: 33.21 seconds
Article 443: 22.73 seconds
Article 444: 33.42 seconds
Article 445: 13.58 seconds
Article 446: 33.24 seconds
Article 447: 41.33 seconds
Article 448: 19.10 seconds
Article 449: 31.60 seconds
Article 450: 39.55 seconds
Article 451: 41.95 seconds
Article 452: 24.95 seconds
Article 453: 31.20 seconds
Article 454: 24.63 seconds
Article 455: 43.56 seconds
Article 456: 43.29 seconds
Article 457: 5.14 seconds
Article 458: 35.93 seconds
Article 459: 44.41 seconds
Article 460: 21.36 seconds
Article 461: 32.22 seconds
Article 462: 38.14 seconds
Article 463: 35.54 seconds
Article 464: 22.27 seconds
Article 465: 42.93 seconds
Article 466: 36.47 seconds
Article 467: 30.16 seconds
Article 468: 30.07 seconds
Article 469: 35.63 seconds
Article 470: 33.63 seconds
Article 471: 37.27 seconds
Article 472: 51.25 seconds
Article 473: 22.47 seconds
Article 474: 23.14 seconds
Article 475: 23.87 seconds
Article 476: 35.54 seconds
Article 477: 49.91 seconds
Article 478: 37.67 seconds
Article 479: 29.02 seconds
Article 480: 30.89 seconds
Article 481: 15.73 seconds
Article 482: 18.38 seconds
Article 483: 22.59 seconds
Article 484: 34.30 seconds
Article 485: 31.57 seconds
Article 486: 27.27 seconds
Article 487: 25.18 seconds
Article 488: 41.74 seconds
Article 489: 26.22 seconds
Article 490: 35.81 seconds
Article 491: 26.95 seconds
Article 492: 17.60 seconds
Article 493: 23.35 seconds
Article 494: 26.42 seconds
Article 495: 37.21 seconds
Article 496: 22.64 seconds
Article 497: 32.61 seconds
Article 498: 20.19 seconds
Article 499: 39.26 seconds
Article 500: 26.69 seconds
Article 501: 39.10 seconds
Article 502: 29.83 seconds
Article 503: 33.52 seconds
Article 504: 19.05 seconds
Article 505: 28.16 seconds
Article 506: 39.47 seconds
Article 507: 23.40 seconds
Article 508: 3.96 seconds
Article 509: 29.17 seconds
Article 510: 36.06 seconds
Article 511: 17.33 seconds
Article 512: 23.72 seconds
Article 513: 24.60 seconds
Article 514: 21.65 seconds
Article 515: 21.68 seconds
Article 516: 30.81 seconds
Article 517: 34.41 seconds
Article 518: 20.98 seconds
Article 519: 20.37 seconds
Article 520: 15.73 seconds
Article 521: 41.58 seconds
Article 522: 42.87 seconds
Article 523: 23.69 seconds
Article 524: 19.23 seconds
Article 525: 41.89 seconds
Article 526: 34.65 seconds
Article 527: 12.39 seconds
Article 528: 41.85 seconds
Article 529: 20.32 seconds
Article 530: 27.56 seconds
Article 531: 43.67 seconds
Article 532: 29.42 seconds
Article 533: 37.50 seconds
Article 534: 23.74 seconds
Article 535: 34.70 seconds
Article 536: 36.25 seconds
Article 537: 31.01 seconds
Article 538: 36.22 seconds
Article 539: 29.37 seconds
Article 540: 40.22 seconds
Article 541: 35.58 seconds
Article 542: 25.47 seconds
Article 543: 20.64 seconds
Article 544: 15.46 seconds
Article 545: 8.50 seconds
Article 546: 22.25 seconds
Article 547: 35.31 seconds
Article 548: 35.22 seconds
Article 549: 28.94 seconds
Article 550: 11.11 seconds
Article 551: 18.56 seconds
Article 552: 47.85 seconds
Article 553: 29.53 seconds
Article 554: 32.01 seconds
Article 555: 37.84 seconds
Article 556: 28.41 seconds
Article 557: 30.69 seconds
Article 558: 37.32 seconds
Article 559: 20.46 seconds
Article 560: 28.35 seconds
Article 561: 36.91 seconds
Article 562: 18.78 seconds
Article 563: 31.93 seconds
Article 564: 25.51 seconds
Article 565: 20.26 seconds
Article 566: 46.27 seconds
Article 567: 46.69 seconds
Article 568: 41.39 seconds
Article 569: 37.55 seconds
Article 570: 25.20 seconds
Article 571: 21.54 seconds
Article 572: 37.34 seconds
Article 573: 38.06 seconds
Article 574: 16.43 seconds
Article 575: 21.05 seconds
Article 576: 25.49 seconds
Article 577: 21.35 seconds
Article 578: 29.00 seconds
Article 579: 15.21 seconds
Article 580: 18.01 seconds
Article 581: 44.84 seconds
Article 582: 31.94 seconds
Article 583: 28.57 seconds
Article 584: 19.00 seconds
Article 585: 33.23 seconds
Article 586: 13.14 seconds
Article 587: 45.51 seconds
Article 588: 32.27 seconds
Article 589: 33.18 seconds
Article 590: 22.40 seconds
Article 591: 28.81 seconds
Article 592: 17.19 seconds
Article 593: 6.12 seconds
Article 594: 41.90 seconds
Article 595: 24.90 seconds
Article 596: 15.43 seconds
Article 597: 33.87 seconds
Article 598: 15.22 seconds
Article 599: 34.05 seconds
Article 600: 23.32 seconds
Article 601: 24.93 seconds
Article 602: 44.98 seconds
Article 603: 44.70 seconds
Article 604: 12.32 seconds
Article 605: 23.05 seconds
Article 606: 37.56 seconds
Article 607: 22.76 seconds
Article 608: 25.04 seconds
Article 609: 12.25 seconds
Article 610: 30.51 seconds
Article 611: 28.18 seconds
Article 612: 32.54 seconds
Article 613: 24.62 seconds
Article 614: 43.15 seconds
Article 615: 30.39 seconds
Article 616: 27.39 seconds
Article 617: 45.66 seconds
Article 618: 26.66 seconds
Article 619: 26.00 seconds
Article 620: 22.07 seconds
Article 621: 31.71 seconds
Article 622: 27.47 seconds
Article 623: 29.82 seconds
Article 624: 9.43 seconds
Article 625: 23.60 seconds
Article 626: 23.41 seconds
Article 627: 25.94 seconds
Article 628: 37.63 seconds
Article 629: 38.61 seconds
Article 630: 46.86 seconds
Article 631: 49.73 seconds
Article 632: 42.93 seconds
Article 633: 39.98 seconds
Article 634: 26.72 seconds
Article 635: 43.40 seconds
Article 636: 26.61 seconds
Article 637: 22.04 seconds
Article 638: 37.42 seconds
Article 639: 40.05 seconds
Article 640: 24.41 seconds
Article 641: 30.88 seconds
Article 642: 16.49 seconds
Article 643: 36.92 seconds
Article 644: 26.80 seconds
Article 645: 37.08 seconds
Article 646: 29.13 seconds
Article 647: 17.28 seconds
Article 648: 25.85 seconds
Article 649: 21.63 seconds
Article 650: 36.05 seconds
Article 651: 39.06 seconds
Article 652: 37.79 seconds
Article 653: 4.55 seconds
Article 654: 26.93 seconds
Article 655: 33.46 seconds
Article 656: 33.20 seconds
Article 657: 38.26 seconds
Article 658: 22.28 seconds
Article 659: 27.39 seconds
Article 660: 32.73 seconds
Article 661: 32.69 seconds
Article 662: 35.22 seconds
Article 663: 39.77 seconds
Article 664: 23.55 seconds
Article 665: 20.36 seconds
Article 666: 30.42 seconds
Article 667: 26.66 seconds
Article 668: 25.98 seconds
Article 669: 22.51 seconds
Article 670: 27.33 seconds
Article 671: 18.43 seconds
Article 672: 45.63 seconds
Article 673: 25.40 seconds
Article 674: 39.39 seconds
Article 675: 36.91 seconds
Article 676: 35.89 seconds
Article 677: 20.17 seconds
Article 678: 43.71 seconds
Article 679: 41.77 seconds
Article 680: 36.95 seconds
Article 681: 29.71 seconds
Article 682: 28.67 seconds
Article 683: 31.63 seconds
Article 684: 28.00 seconds
Article 685: 34.69 seconds
Article 686: 24.86 seconds
Article 687: 37.47 seconds
Article 688: 33.31 seconds
Article 689: 41.79 seconds
Article 690: 44.87 seconds
Article 691: 43.72 seconds
Article 692: 34.16 seconds
Article 693: 42.90 seconds
Article 694: 24.37 seconds
Article 695: 25.36 seconds
Article 696: 43.78 seconds
Article 697: 20.84 seconds
Article 698: 20.77 seconds
Article 699: 30.15 seconds
Article 700: 55.01 seconds
Article 701: 21.34 seconds
Article 702: 35.04 seconds
Article 703: 33.09 seconds
Article 704: 26.94 seconds
Article 705: 14.34 seconds
Article 706: 39.38 seconds
Article 707: 32.56 seconds
Article 708: 39.98 seconds
Article 709: 38.18 seconds
Article 710: 19.51 seconds
Article 711: 34.07 seconds
Article 712: 23.05 seconds
Article 713: 55.55 seconds
Article 714: 40.62 seconds
Article 715: 29.90 seconds
Article 716: 21.35 seconds
Article 717: 39.32 seconds
Article 718: 23.28 seconds
Article 719: 41.75 seconds
Article 720: 35.17 seconds
Article 721: 19.46 seconds
Article 722: 30.99 seconds
Article 723: 41.48 seconds
Article 724: 33.44 seconds
Article 725: 28.31 seconds
Article 726: 32.19 seconds
Article 727: 24.31 seconds
Article 728: 33.29 seconds
Article 729: 21.48 seconds
Article 730: 30.52 seconds
Article 731: 25.75 seconds
Article 732: 33.44 seconds
Article 733: 36.03 seconds
Article 734: 36.59 seconds
Article 735: 25.57 seconds
Article 736: 26.10 seconds
Article 737: 15.25 seconds
Article 738: 24.63 seconds
Article 739: 8.52 seconds
Article 740: 30.82 seconds
Article 741: 35.10 seconds
Article 742: 38.15 seconds
Article 743: 30.98 seconds
Article 744: 42.28 seconds
Article 745: 28.73 seconds
Article 746: 37.17 seconds
Article 747: 20.82 seconds
Article 748: 42.90 seconds
Article 749: 29.91 seconds
Article 750: 15.13 seconds
Article 751: 30.66 seconds
Article 752: 27.33 seconds
Article 753: 33.84 seconds
Article 754: 28.28 seconds
Article 755: 24.37 seconds
Article 756: 16.67 seconds
Article 757: 40.61 seconds
Article 758: 27.27 seconds
Article 759: 14.84 seconds
Article 760: 20.79 seconds
Article 761: 22.50 seconds
Article 762: 34.85 seconds
Article 763: 31.37 seconds
Article 764: 28.50 seconds
Article 765: 43.71 seconds
Article 766: 29.74 seconds
Article 767: 38.84 seconds
Article 768: 12.36 seconds
Article 769: 33.18 seconds
Article 770: 19.74 seconds
Article 771: 29.03 seconds
Article 772: 29.42 seconds
Article 773: 18.74 seconds
Article 774: 36.97 seconds
Article 775: 38.93 seconds
Article 776: 24.16 seconds
Article 777: 36.94 seconds
Article 778: 19.95 seconds
Article 779: 43.40 seconds
Article 780: 21.35 seconds
Article 781: 27.09 seconds
Article 782: 31.08 seconds
Article 783: 19.50 seconds
Article 784: 11.62 seconds
Article 785: 34.94 seconds
Article 786: 48.59 seconds
Article 787: 27.94 seconds
Article 788: 21.30 seconds
Article 789: 26.72 seconds
Article 790: 22.32 seconds
Article 791: 38.84 seconds
Article 792: 37.52 seconds
Article 793: 44.36 seconds
Article 794: 16.98 seconds
Article 795: 19.83 seconds
Article 796: 12.74 seconds
Article 797: 43.74 seconds
Article 798: 38.58 seconds
Article 799: 57.75 seconds
Article 800: 25.68 seconds
Article 801: 35.20 seconds
Article 802: 27.05 seconds
Article 803: 34.39 seconds
Article 804: 34.77 seconds
Article 805: 31.28 seconds
Article 806: 32.55 seconds
Article 807: 13.13 seconds
Article 808: 19.16 seconds
Article 809: 32.00 seconds
Article 810: 22.43 seconds
Article 811: 44.11 seconds
Article 812: 9.41 seconds
Article 813: 47.24 seconds
Article 814: 22.55 seconds
Article 815: 37.72 seconds
Article 816: 39.11 seconds
Article 817: 26.18 seconds
Article 818: 9.43 seconds
Article 819: 29.29 seconds
Article 820: 32.01 seconds
Article 821: 32.32 seconds
Article 822: 27.18 seconds
Article 823: 8.08 seconds
Article 824: 41.06 seconds
Article 825: 28.11 seconds
Article 826: 30.85 seconds
Article 827: 27.97 seconds
Article 828: 16.77 seconds
Article 829: 23.25 seconds
Article 830: 33.55 seconds
Article 831: 43.09 seconds
Article 832: 28.23 seconds
Article 833: 31.24 seconds
Article 834: 27.84 seconds
Article 835: 37.64 seconds
Article 836: 30.06 seconds
Article 837: 31.96 seconds
Article 838: 50.32 seconds
Article 839: 16.62 seconds
Article 840: 30.64 seconds
Article 841: 42.72 seconds
Article 842: 29.96 seconds
Article 843: 26.37 seconds
Article 844: 30.98 seconds
Article 845: 28.97 seconds
Article 846: 20.03 seconds
Article 847: 33.79 seconds
Article 848: 22.67 seconds
Article 849: 11.10 seconds
Article 850: 26.37 seconds
Article 851: 28.49 seconds
Article 852: 34.36 seconds
Article 853: 34.89 seconds
Article 854: 36.75 seconds
Article 855: 31.59 seconds
Article 856: 42.25 seconds
Article 857: 28.86 seconds
Article 858: 22.96 seconds
Article 859: 25.61 seconds
Article 860: 21.50 seconds
Article 861: 8.52 seconds
Article 862: 22.66 seconds
Article 863: 47.07 seconds
Article 864: 25.68 seconds
Article 865: 29.87 seconds
Article 866: 40.44 seconds
Article 867: 42.60 seconds
Article 868: 25.44 seconds
Article 869: 21.88 seconds
Article 870: 40.10 seconds
Article 871: 49.78 seconds
Article 872: 27.43 seconds
Article 873: 15.11 seconds
Article 874: 41.67 seconds
Article 875: 26.11 seconds
Article 876: 54.01 seconds
Article 877: 25.30 seconds
Article 878: 34.90 seconds
Article 879: 54.51 seconds
Article 880: 25.60 seconds
Article 881: 18.15 seconds
Article 882: 37.62 seconds
Article 883: 38.42 seconds
Article 884: 27.67 seconds
Article 885: 38.83 seconds
Article 886: 42.59 seconds
Article 887: 44.03 seconds
Article 888: 29.17 seconds
Article 889: 19.92 seconds
Article 890: 31.85 seconds
Article 891: 38.24 seconds
Article 892: 15.99 seconds
Article 893: 33.74 seconds
Article 894: 19.47 seconds
Article 895: 38.86 seconds
Article 896: 52.55 seconds
Article 897: 38.21 seconds
Article 898: 24.76 seconds
Article 899: 32.99 seconds
Article 900: 35.13 seconds
Article 901: 33.16 seconds
Article 902: 34.07 seconds
Article 903: 41.29 seconds
Article 904: 34.73 seconds
Article 905: 35.39 seconds
Article 906: 19.90 seconds
Article 907: 31.17 seconds
Article 908: 30.54 seconds
Article 909: 17.72 seconds
Article 910: 41.58 seconds
Article 911: 37.58 seconds
Article 912: 16.62 seconds
Article 913: 46.51 seconds
Article 914: 33.59 seconds
Article 915: 40.50 seconds
Article 916: 43.60 seconds
Article 917: 34.59 seconds
Article 918: 24.63 seconds
Article 919: 31.17 seconds
Article 920: 33.40 seconds
Article 921: 22.28 seconds
Article 922: 32.26 seconds
Article 923: 29.06 seconds
Article 924: 37.16 seconds
Article 925: 28.94 seconds
Article 926: 25.91 seconds
Article 927: 33.28 seconds
Article 928: 14.50 seconds
Article 929: 23.04 seconds
Article 930: 23.32 seconds
Article 931: 32.31 seconds
Article 932: 3.55 seconds
Article 933: 22.54 seconds
Article 934: 32.52 seconds
Article 935: 25.67 seconds
Article 936: 21.49 seconds
Article 937: 33.74 seconds
Article 938: 20.32 seconds
Article 939: 41.98 seconds
Article 940: 34.72 seconds
Article 941: 28.91 seconds
Article 942: 46.93 seconds
Article 943: 18.36 seconds
Article 944: 35.13 seconds
Article 945: 30.83 seconds
Article 946: 37.68 seconds
Article 947: 33.36 seconds
Article 948: 5.93 seconds
Article 949: 48.60 seconds
Article 950: 33.78 seconds
Article 951: 32.05 seconds
Article 952: 30.03 seconds
Article 953: 30.05 seconds
Article 954: 34.51 seconds
Article 955: 22.60 seconds
Article 956: 30.86 seconds
Article 957: 30.40 seconds
Article 958: 35.50 seconds
Article 959: 24.69 seconds
Article 960: 35.95 seconds
Article 961: 22.66 seconds
Article 962: 36.33 seconds
Article 963: 27.26 seconds
Article 964: 41.14 seconds
Article 965: 34.54 seconds
Article 966: 31.16 seconds
Article 967: 37.00 seconds
Article 968: 44.31 seconds
Article 969: 37.99 seconds
Article 970: 16.93 seconds
Article 971: 46.88 seconds
Article 972: 39.56 seconds
Article 973: 38.90 seconds
Article 974: 20.31 seconds
Article 975: 26.97 seconds
Article 976: 18.49 seconds
Article 977: 44.91 seconds
Article 978: 35.63 seconds
Article 979: 18.74 seconds
Article 980: 32.22 seconds
Article 981: 37.23 seconds
Article 982: 29.84 seconds
Article 983: 13.49 seconds
Article 984: 44.39 seconds
Article 985: 8.78 seconds
Article 986: 35.09 seconds
Article 987: 45.85 seconds
Article 988: 26.70 seconds
Article 989: 36.30 seconds
